name,source,gender,wikidata,type
"Allée des Bacounis",wikidata,-,Q106744564,way
"Avenue Saint-Paul",wikidata,-,Q55382251,way
"Avenue d'Echallens",wikidata,-,Q70714,way
"Avenue d'Evian",wikidata,-,Q273017,way
"Avenue d'Ouchy",wikidata,-,Q870499,way
"Avenue d'Yverdon",wikidata,-,Q63946,way
"Avenue de France",wikidata,-,Q142,way
"Avenue de Jaman",wikidata,-,Q5141841,way
"Avenue de Milan",wikidata,-,Q490,way
"Avenue de Montbenon",wikidata,-,Q3058449,way
"Avenue de Morges",wikidata,-,Q69401,way
"Avenue de Rhodanie",wikidata,-,Q3429578,way
"Avenue de l'Eglise-Anglaise",wikidata,-,Q19406921,way
"Avenue de l'Université",wikidata,-,Q3918,way
"Avenue de la Dent-d'Oche",wikidata,-,Q1189865,way
"Avenue de la Gare",wikidata,-,Q669678,way
"Avenue de la Tour Haldimand",wikidata,-,Q195496,way
"Avenue des Acacias",wikidata,-,Q81666,way
"Avenue des Alpes",wikidata,-,Q1286,way
"Avenue des Casernes",wikidata,-,Q131263,way
"Avenue des Oiseaux",wikidata,-,Q5113,way
"Avenue des Tilleuls",wikidata,-,Q127849,way
"Avenue du Chablais",wikidata,-,Q869650,way
"Avenue du Léman",wikidata,-,Q6403,way
"Avenue du Mont-Blanc",wikidata,-,Q583,way
"Avenue du Mont-d'Or",wikidata,-,Q3322201,way
"Avenue du Temple",wikidata,-,Q44539,way
"Avenue du Tribunal-Fédéral",wikidata,-,Q676553,way
"Avenue du Vieux-Moulin",wikidata,-,Q44494,way
"Cap de Vaudaire",wikidata,-,Q3555050,way
"Chemin de Bel-Orne",wikidata,-,Q69745,way
"Chemin de Boston",wikidata,-,Q100,way
"Chemin de La Vuachère",wikidata,-,Q693050,way
"Chemin de Renens",wikidata,-,Q69745,way
"Chemin de l'Usine-à-Gaz",wikidata,-,Q56301875,way
"Chemin de la Chocolatière",wikidata,-,Q305012,way
"Chemin de la Forêt",wikidata,-,Q4421,way
"Chemin de la Fourmi",wikidata,-,Q7386,way
"Chemin de la Vuachère",wikidata,-,Q693050,way
"Chemin des Abeilles",wikidata,-,Q324132,way
"Chemin des Aubépines",wikidata,-,Q132557,way
"Chemin des Cèdres",wikidata,-,Q128550,way
"Chemin des Celtes",wikidata,-,Q35966,way
"Chemin des Diablerets",wikidata,-,Q15139,way
"Chemin des Epinettes",wikidata,-,Q26782,way
"Chemin des Fougères",wikidata,-,Q80005,way
"Chemin des Lys",wikidata,-,Q5194627,way
"Chemin des Mouettes",wikidata,-,Q3325437,way
"Chemin des Plaines",wikidata,-,Q160091,way
"Chemin du Calvaire",wikidata,-,Q371752,way
"Chemin du Cerisier",wikidata,-,Q2946681,way
"Chemin du Frêne",wikidata,-,Q128887,way
"Chemin du Moléson",wikidata,-,Q16586,way
"Chemin du Mollendruz",wikidata,-,Q391715,way
"Chemin du Muveran",wikidata,-,Q674584,way
"Chemin du Parc-de-Valency",wikidata,-,Q86726637,way
"Chemin du Petit-Château",wikidata,-,Q751876,way
"Chemin du Salève",wikidata,-,Q1711734,way
"Escaliers du Grand-Pont",wikidata,-,Q682024,way
